date,season,home_team,away_team,home_score,away_score,venue
2021-05-29,2021,Houston Dash,Chicago Stars FC,2,1,Shell Energy Stadium
2021-05-30,2021,Seattle Reign FC,Washington Spirit,0,1,Cheney Stadium
2021-05-30,2021,Gotham FC,Portland Thorns FC,0,1,Sports Illustrated Stadium
2021-05-30,2021,Orlando Pride,Kansas City Current,1,0,Inter&Co Stadium
2021-06-05,2021,Chicago Stars FC,North Carolina Courage,1,0,SeatGeek Stadium
2021-06-05,2021,Gotham FC,Seattle Reign FC,1,0,Sports Illustrated Stadium
2021-06-06,2021,Portland Thorns FC,Racing Louisville FC,3,0,Providence Park
2021-06-06,2021,Kansas City Current,Houston Dash,0,1,Legends Field
2021-06-06,2021,Washington Spirit,Orlando Pride,1,1,Audi Field
2021-06-19,2021,North Carolina Courage,Seattle Reign FC,2,1,WakeMed Soccer Park
2021-06-20,2021,Chicago Stars FC,Washington Spirit,1,1,SeatGeek Stadium
2021-06-20,2021,Racing Louisville FC,Houston Dash,1,0,Lynn Family Stadium
2021-06-20,2021,Portland Thorns FC,Kansas City Current,1,0,Providence Park
2021-06-20,2021,Orlando Pride,Gotham FC,1,1,Inter&Co Stadium
2021-06-23,2021,Seattle Reign FC,Chicago Stars FC,2,0,Cheney Stadium
2021-06-23,2021,Kansas City Current,Orlando Pride,1,3,Legends Field
2021-06-23,2021,Racing Louisville FC,North Carolina Courage,0,2,Lynn Family Stadium
2021-06-26,2021,North Carolina Courage,Portland Thorns FC,2,0,WakeMed Soccer Park
2021-06-26,2021,Chicago Stars FC,Racing Louisville FC,0,3,SeatGeek Stadium
2021-06-26,2021,Seattle Reign FC,Gotham FC,0,3,Cheney Stadium
2021-06-27,2021,Houston Dash,Orlando Pride,2,1,Shell Energy Stadium
2021-06-27,2021,Kansas City Current,Washington Spirit,1,2,Legends Field
2021-07-02,2021,Washington Spirit,Chicago Stars FC,0,1,Segra Field
2021-07-03,2021,Houston Dash,Seattle Reign FC,2,0,Shell Energy Stadium
2021-07-03,2021,Gotham FC,Kansas City Current,1,1,Sports Illustrated Stadium
2021-07-03,2021,Racing Louisville FC,Portland Thorns FC,0,2,Lynn Family Stadium
2021-07-04,2021,Orlando Pride,North Carolina Courage,0,2,Inter&Co Stadium
2021-07-09,2021,Orlando Pride,Racing Louisville FC,1,1,Inter&Co Stadium
2021-07-10,2021,Washington Spirit,North Carolina Courage,2,0,Audi Field
2021-07-11,2021,Portland Thorns FC,Gotham FC,0,0,Providence Park
2021-07-11,2021,Chicago Stars FC,Houston Dash,2,1,SeatGeek Stadium
2021-07-11,2021,Seattle Reign FC,Kansas City Current,2,0,Cheney Stadium
2021-07-17,2021,North Carolina Courage,Houston Dash,1,2,WakeMed Soccer Park
2021-07-18,2021,Chicago Stars FC,Seattle Reign FC,3,1,SeatGeek Stadium
2021-07-18,2021,Washington Spirit,Gotham FC,2,3,Segra Field
2021-07-19,2021,Portland Thorns FC,Orlando Pride,2,1,Providence Park
2021-07-24,2021,Kansas City Current,North Carolina Courage,0,0,Legends Field
2021-07-24,2021,Orlando Pride,Seattle Reign FC,0,2,Inter&Co Stadium
2021-07-25,2021,Houston Dash,Portland Thorns FC,0,1,Shell Energy Stadium
2021-07-25,2021,Gotham FC,Chicago Stars FC,2,1,Sports Illustrated Stadium
2021-07-25,2021,Racing Louisville FC,Washington Spirit,0,2,Lynn Family Stadium
2021-07-31,2021,North Carolina Courage,Orlando Pride,1,1,WakeMed Soccer Park
2021-08-01,2021,Seattle Reign FC,Racing Louisville FC,2,0,Cheney Stadium
2021-08-01,2021,Portland Thorns FC,Kansas City Current,2,0,Providence Park
2021-08-01,2021,Chicago Stars FC,Washington Spirit,3,1,SeatGeek Stadium
2021-08-01,2021,Houston Dash,Gotham FC,1,1,Shell Energy Stadium
2021-08-07,2021,Gotham FC,North Carolina Courage,0,1,Sports Illustrated Stadium
2021-08-07,2021,Washington Spirit,Portland Thorns FC,0,1,Segra Field
2021-08-08,2021,Chicago Stars FC,Orlando Pride,0,2,SeatGeek Stadium
2021-08-08,2021,Racing Louisville FC,Kansas City Current,3,1,Lynn Family Stadium
2021-08-08,2021,Seattle Reign FC,Houston Dash,5,1,Cheney Stadium
2021-08-14,2021,Houston Dash,Washington Spirit,2,2,Shell Energy Stadium
2021-08-14,2021,Orlando Pride,Portland Thorns FC,1,1,Inter&Co Stadium
2021-08-15,2021,Kansas City Current,Seattle Reign FC,1,0,Legends Field
2021-08-15,2021,Gotham FC,Racing Louisville FC,1,1,Sports Illustrated Stadium
2021-08-15,2021,North Carolina Courage,Chicago Stars FC,1,0,WakeMed Soccer Park
2021-08-19,2021,Racing Louisville FC,Chicago Stars FC,1,1,Lynn Family Stadium
2021-08-21,2021,North Carolina Courage,Kansas City Current,4,0,WakeMed Soccer Park
2021-08-22,2021,Seattle Reign FC,Gotham FC,3,2,Cheney Stadium
2021-08-22,2021,Washington Spirit,Orlando Pride,2,1,Audi Field
2021-08-26,2021,Kansas City Current,Racing Louisville FC,2,1,Legends Field
2021-08-26,2021,Portland Thorns FC,Gotham FC,2,1,Providence Park
2021-08-29,2021,Houston Dash,Racing Louisville FC,1,0,Shell Energy Stadium
2021-08-29,2021,Seattle Reign FC,Portland Thorns FC,2,1,Lumen Field
2021-08-29,2021,Gotham FC,Orlando Pride,0,1,Sports Illustrated Stadium
2021-08-29,2021,Washington Spirit,North Carolina Courage,0,0,Audi Field
2021-08-29,2021,Chicago Stars FC,Kansas City Current,3,0,SeatGeek Stadium
2021-09-02,2021,Houston Dash,Seattle Reign FC,0,1,Shell Energy Stadium
2021-09-04,2021,Gotham FC,Chicago Stars FC,0,0,Sports Illustrated Stadium
2021-09-04,2021,Racing Louisville FC,Seattle Reign FC,1,1,Lynn Family Stadium
2021-09-05,2021,Portland Thorns FC,Washington Spirit,0,0,Providence Park
2021-09-05,2021,Orlando Pride,Houston Dash,1,1,Inter&Co Stadium
2021-09-05,2021,Kansas City Current,North Carolina Courage,0,0,Legends Field
2021-09-11,2021,Houston Dash,Chicago Stars FC,1,1,Shell Energy Stadium
2021-09-11,2021,Orlando Pride,Racing Louisville FC,3,1,Inter&Co Stadium
2021-09-12,2021,North Carolina Courage,Portland Thorns FC,0,1,WakeMed Soccer Park
2021-09-12,2021,Washington Spirit,Seattle Reign FC,0,3,Audi Field
2021-09-25,2021,Gotham FC,North Carolina Courage,3,1,Sports Illustrated Stadium
2021-09-26,2021,Seattle Reign FC,Orlando Pride,3,0,Cheney Stadium
2021-09-26,2021,Washington Spirit,Kansas City Current,2,1,Segra Field
2021-09-26,2021,Chicago Stars FC,Portland Thorns FC,2,1,SeatGeek Stadium
2021-09-26,2021,Racing Louisville FC,Houston Dash,0,4,Lynn Family Stadium
2021-10-06,2021,Gotham FC,Washington Spirit,0,0,Subaru Park
2021-10-06,2021,North Carolina Courage,Racing Louisville FC,3,1,WakeMed Soccer Park
2021-10-07,2021,Portland Thorns FC,Houston Dash,2,3,Providence Park
2021-10-09,2021,Orlando Pride,Gotham FC,2,3,Inter&Co Stadium
2021-10-09,2021,Washington Spirit,Racing Louisville FC,3,0,Audi Field
2021-10-10,2021,Houston Dash,North Carolina Courage,4,1,Shell Energy Stadium
2021-10-10,2021,Kansas City Current,Portland Thorns FC,0,0,Legends Field
2021-10-10,2021,Seattle Reign FC,Chicago Stars FC,3,2,Cheney Stadium
2021-10-13,2021,North Carolina Courage,Washington Spirit,1,2,WakeMed Soccer Park
2021-10-14,2021,Chicago Stars FC,Orlando Pride,1,0,SeatGeek Stadium
2021-10-14,2021,Kansas City Current,Houston Dash,3,0,Legends Field
2021-10-14,2021,Portland Thorns FC,Seattle Reign FC,1,1,Providence Park
2021-10-16,2021,Racing Louisville FC,Orlando Pride,3,1,Lynn Family Stadium
2021-10-17,2021,Houston Dash,Portland Thorns FC,0,1,Shell Energy Stadium
2021-10-17,2021,North Carolina Courage,Gotham FC,0,3,WakeMed Soccer Park
2021-10-17,2021,Chicago Stars FC,Kansas City Current,2,1,SeatGeek Stadium
2021-10-17,2021,Seattle Reign FC,Washington Spirit,0,2,Cheney Stadium
2021-10-23,2021,Kansas City Current,Gotham FC,1,1,Legends Field
2021-10-28,2021,Racing Louisville FC,Gotham FC,1,1,Lynn Family Stadium
2021-10-29,2021,Orlando Pride,Chicago Stars FC,0,1,Inter&Co Stadium
2021-10-31,2021,Kansas City Current,Seattle Reign FC,0,3,Legends Field
2021-10-31,2021,Portland Thorns FC,North Carolina Courage,0,0,Providence Park
2021-10-31,2021,Washington Spirit,Houston Dash,1,0,Audi Field
2021-10-31,2021,Gotham FC,Racing Louisville FC,1,1,Sports Illustrated Stadium
2021-11-07,2021,Chicago Stars FC,Gotham FC,1,0,SeatGeek Stadium
2021-11-07,2021,Washington Spirit,North Carolina Courage,1,0,Audi Field
2021-11-14,2021,Seattle Reign FC,Washington Spirit,1,2,Cheney Stadium
2021-11-14,2021,Portland Thorns FC,Chicago Stars FC,0,2,Providence Park
2021-11-20,2021,Washington Spirit,Chicago Stars FC,2,1,Lynn Family Stadium
2022-04-30,2022,Portland Thorns FC,Kansas City Current,3,0,Providence Park
2022-04-30,2022,Angel City FC,North Carolina Courage,2,1,BMO Stadium
2022-05-01,2022,Chicago Stars FC,Racing Louisville FC,2,1,SeatGeek Stadium
2022-05-01,2022,Washington Spirit,Seattle Reign FC,2,1,Audi Field
2022-05-01,2022,Houston Dash,San Diego Wave FC,0,1,Shell Energy Stadium
2022-05-01,2022,Orlando Pride,Gotham FC,0,3,Inter&Co Stadium
2022-05-08,2022,San Diego Wave FC,Gotham FC,4,0,Torero Stadium
2022-05-08,2022,Kansas City Current,Houston Dash,0,2,Children's Mercy Park
2022-05-08,2022,Seattle Reign FC,Racing Louisville FC,2,2,Lumen Field
2022-05-09,2022,Angel City FC,Orlando Pride,0,1,BMO Stadium
2022-05-14,2022,Portland Thorns FC,Seattle Reign FC,0,0,Providence Park
2022-05-14,2022,Orlando Pride,Kansas City Current,2,2,Inter&Co Stadium
2022-05-15,2022,San Diego Wave FC,Chicago Stars FC,2,1,Torero Stadium
2022-05-15,2022,Racing Louisville FC,Houston Dash,1,1,Lynn Family Stadium
2022-05-15,2022,Washington Spirit,Angel City FC,0,1,Audi Field
2022-05-18,2022,North Carolina Courage,Orlando Pride,1,2,WakeMed Soccer Park
2022-05-18,2022,Racing Louisville FC,San Diego Wave FC,1,0,Lynn Family Stadium
2022-05-19,2022,Portland Thorns FC,Washington Spirit,1,1,Providence Park
2022-05-21,2022,Portland Thorns FC,Houston Dash,0,2,Providence Park
2022-05-22,2022,Angel City FC,Kansas City Current,1,0,BMO Stadium
2022-05-22,2022,North Carolina Courage,San Diego Wave FC,0,1,WakeMed Soccer Park
2022-05-22,2022,Gotham FC,Racing Louisville FC,0,1,Sports Illustrated Stadium
2022-05-22,2022,Seattle Reign FC,Washington Spirit,0,0,Lumen Field
2022-05-22,2022,Orlando Pride,Chicago Stars FC,2,4,Inter&Co Stadium
2022-05-26,2022,Seattle Reign FC,Kansas City Current,1,0,Lumen Field
2022-05-27,2022,Orlando Pride,Washington Spirit,2,2,Inter&Co Stadium
2022-05-29,2022,Chicago Stars FC,Portland Thorns FC,2,2,SeatGeek Stadium
2022-05-29,2022,Seattle Reign FC,San Diego Wave FC,1,0,Lumen Field
2022-05-29,2022,Houston Dash,North Carolina Courage,1,1,Shell Energy Stadium
2022-05-30,2022,Angel City FC,Gotham FC,0,1,BMO Stadium
2022-05-30,2022,Kansas City Current,Racing Louisville FC,1,0,Children's Mercy Park
2022-06-01,2022,Washington Spirit,Chicago Stars FC,1,1,Segra Field
2022-06-04,2022,Gotham FC,Washington Spirit,1,0,Sports Illustrated Stadium
2022-06-04,2022,Chicago Stars FC,Seattle Reign FC,1,0,SeatGeek Stadium
2022-06-04,2022,Portland Thorns FC,Angel City FC,3,0,Providence Park
2022-06-04,2022,Houston Dash,Orlando Pride,5,0,Shell Energy Stadium
2022-06-05,2022,Racing Louisville FC,North Carolina Courage,0,3,Lynn Family Stadium
2022-06-05,2022,Kansas City Current,San Diego Wave FC,2,2,Children's Mercy Park
2022-06-08,2022,Angel City FC,Houston Dash,0,0,BMO Stadium
2022-06-09,2022,Chicago Stars FC,Washington Spirit,0,0,SeatGeek Stadium
2022-06-09,2022,San Diego Wave FC,Portland Thorns FC,2,2,Torero Stadium
2022-06-11,2022,Washington Spirit,North Carolina Courage,2,3,Segra Field
2022-06-12,2022,Racing Louisville FC,Angel City FC,2,3,Lynn Family Stadium
2022-06-12,2022,Kansas City Current,Gotham FC,1,0,Children's Mercy Park
2022-06-12,2022,San Diego Wave FC,Seattle Reign FC,1,1,Torero Stadium
2022-06-12,2022,Chicago Stars FC,Orlando Pride,1,0,SeatGeek Stadium
2022-06-12,2022,Houston Dash,Portland Thorns FC,0,4,Shell Energy Stadium
2022-06-17,2022,Washington Spirit,Racing Louisville FC,2,2,Segra Field
2022-06-19,2022,North Carolina Courage,Houston Dash,3,4,WakeMed Soccer Park
2022-06-19,2022,Gotham FC,San Diego Wave FC,0,3,Sports Illustrated Stadium
2022-06-19,2022,Kansas City Current,Chicago Stars FC,2,2,Children's Mercy Park
2022-06-19,2022,Seattle Reign FC,Angel City FC,1,0,Lumen Field
2022-06-19,2022,Portland Thorns FC,Orlando Pride,6,0,Providence Park
2022-07-02,2022,Houston Dash,Kansas City Current,1,2,Shell Energy Stadium
2022-07-02,2022,Seattle Reign FC,North Carolina Courage,2,0,Lumen Field
2022-07-02,2022,Angel City FC,Portland Thorns FC,1,1,BMO Stadium
2022-07-02,2022,Gotham FC,Chicago Stars FC,0,3,Sports Illustrated Stadium
2022-07-03,2022,San Diego Wave FC,Washington Spirit,2,1,Torero Stadium
2022-07-04,2022,Orlando Pride,Racing Louisville FC,2,2,Daytona International Speedway Stadium
2022-07-08,2022,Orlando Pride,Houston Dash,1,0,Inter&Co Stadium
2022-07-09,2022,Racing Louisville FC,Gotham FC,1,2,Lynn Family Stadium
2022-07-10,2022,Angel City FC,San Diego Wave FC,2,1,BMO Stadium
2022-07-10,2022,Washington Spirit,Kansas City Current,0,1,Segra Field
2022-07-10,2022,Chicago Stars FC,North Carolina Courage,2,2,SeatGeek Stadium
2022-07-10,2022,Seattle Reign FC,Portland Thorns FC,2,2,Lumen Field
2022-07-16,2022,San Diego Wave FC,Racing Louisville FC,0,0,Torero Stadium
2022-07-17,2022,Houston Dash,Chicago Stars FC,4,1,Shell Energy Stadium
2022-07-17,2022,Portland Thorns FC,Gotham FC,5,0,Providence Park
2022-07-17,2022,Washington Spirit,Orlando Pride,0,0,Audi Field
2022-07-17,2022,Kansas City Current,Seattle Reign FC,1,0,Children's Mercy Park
2022-07-29,2022,North Carolina Courage,Washington Spirit,3,3,WakeMed Soccer Park
2022-07-30,2022,Racing Louisville FC,Portland Thorns FC,1,2,Lynn Family Stadium
2022-07-31,2022,Chicago Stars FC,San Diego Wave FC,0,1,Soldier Field
2022-07-31,2022,Angel City FC,Seattle Reign FC,2,3,BMO Stadium
2022-07-31,2022,Gotham FC,Houston Dash,2,4,Sports Illustrated Stadium
2022-07-31,2022,Kansas City Current,Orlando Pride,2,2,Children's Mercy Park
2022-08-03,2022,Racing Louisville FC,Seattle Reign FC,1,1,Lynn Family Stadium
2022-08-06,2022,Racing Louisville FC,Washington Spirit,1,1,Lynn Family Stadium
2022-08-06,2022,Portland Thorns FC,North Carolina Courage,3,3,Providence Park
2022-08-07,2022,Orlando Pride,Angel City FC,2,2,Inter&Co Stadium
2022-08-07,2022,Seattle Reign FC,Houston Dash,1,2,Lumen Field
2022-08-07,2022,Chicago Stars FC,Gotham FC,2,0,SeatGeek Stadium
2022-08-07,2022,San Diego Wave FC,Kansas City Current,1,2,Torero Stadium
2022-08-11,2022,Washington Spirit,Portland Thorns FC,1,2,Segra Field
2022-08-13,2022,Houston Dash,Racing Louisville FC,0,0,Shell Energy Stadium
2022-08-14,2022,North Carolina Courage,Kansas City Current,3,4,WakeMed Soccer Park
2022-08-14,2022,San Diego Wave FC,Orlando Pride,0,1,Torero Stadium
2022-08-14,2022,Seattle Reign FC,Gotham FC,4,1,Lumen Field
2022-08-15,2022,Angel City FC,Chicago Stars FC,1,0,BMO Stadium
2022-08-18,2022,Houston Dash,Gotham FC,2,1,Shell Energy Stadium
2022-08-20,2022,Kansas City Current,Angel City FC,1,1,Children's Mercy Park
2022-08-20,2022,Gotham FC,Orlando Pride,1,2,Subaru Park
2022-08-20,2022,North Carolina Courage,Chicago Stars FC,4,0,WakeMed Soccer Park
2022-08-21,2022,San Diego Wave FC,Houston Dash,3,1,Torero Stadium
2022-08-24,2022,North Carolina Courage,Portland Thorns FC,3,1,WakeMed Soccer Park
2022-08-26,2022,Orlando Pride,Seattle Reign FC,1,2,Inter&Co Stadium
2022-08-27,2022,Racing Louisville FC,Chicago Stars FC,0,4,Lynn Family Stadium
2022-08-28,2022,Houston Dash,Washington Spirit,2,2,Shell Energy Stadium
2022-08-28,2022,Portland Thorns FC,San Diego Wave FC,0,2,Providence Park
2022-08-28,2022,Gotham FC,Angel City FC,1,3,Sports Illustrated Stadium
2022-08-28,2022,Kansas City Current,North Carolina Courage,3,2,Children's Mercy Park
2022-09-04,2022,Gotham FC,North Carolina Courage,0,1,Sports Illustrated Stadium
2022-09-09,2022,Orlando Pride,Portland Thorns FC,0,2,Inter&Co Stadium
2022-09-10,2022,Seattle Reign FC,Chicago Stars FC,2,2,Lumen Field
2022-09-10,2022,Washington Spirit,San Diego Wave FC,4,3,Audi Field
2022-09-10,2022,North Carolina Courage,Racing Louisville FC,5,1,WakeMed Soccer Park
2022-09-11,2022,Gotham FC,Kansas City Current,0,1,Sports Illustrated Stadium
2022-09-11,2022,Houston Dash,Angel City FC,1,1,Shell Energy Stadium
2022-09-14,2022,North Carolina Courage,Angel City FC,1,0,WakeMed Soccer Park
2022-09-15,2022,Chicago Stars FC,Kansas City Current,4,0,SeatGeek Stadium
2022-09-16,2022,Racing Louisville FC,Orlando Pride,2,0,Lynn Family Stadium
2022-09-17,2022,North Carolina Courage,Seattle Reign FC,1,2,WakeMed Soccer Park
2022-09-17,2022,Washington Spirit,Gotham FC,2,0,Audi Field
2022-09-18,2022,Chicago Stars FC,Houston Dash,0,1,SeatGeek Stadium
2022-09-18,2022,San Diego Wave FC,Angel City FC,1,0,Snapdragon Stadium
2022-09-18,2022,Kansas City Current,Portland Thorns FC,1,1,Children's Mercy Park
2022-09-21,2022,Gotham FC,Seattle Reign FC,0,1,Sports Illustrated Stadium
2022-09-21,2022,Orlando Pride,North Carolina Courage,0,3,Inter&Co Stadium
2022-09-22,2022,Portland Thorns FC,Racing Louisville FC,3,0,Providence Park
2022-09-22,2022,Angel City FC,Washington Spirit,2,1,BMO Stadium
2022-09-24,2022,North Carolina Courage,Gotham FC,3,0,WakeMed Soccer Park
2022-09-25,2022,Houston Dash,Seattle Reign FC,0,2,Shell Energy Stadium
2022-09-25,2022,Portland Thorns FC,Chicago Stars FC,3,0,Providence Park
2022-09-25,2022,Kansas City Current,Washington Spirit,3,0,Children's Mercy Park
2022-09-25,2022,Orlando Pride,San Diego Wave FC,2,2,Inter&Co Stadium
2022-09-26,2022,Angel City FC,Racing Louisville FC,1,3,BMO Stadium
2022-10-01,2022,Racing Louisville FC,Kansas City Current,1,0,Lynn Family Stadium
2022-10-01,2022,Washington Spirit,Houston Dash,1,2,Audi Field
2022-10-01,2022,Gotham FC,Portland Thorns FC,3,3,Sports Illustrated Stadium
2022-10-01,2022,San Diego Wave FC,North Carolina Courage,0,0,Snapdragon Stadium
2022-10-02,2022,Seattle Reign FC,Orlando Pride,3,0,Lumen Field
2022-10-02,2022,Chicago Stars FC,Angel City FC,2,0,SeatGeek Stadium
2022-10-16,2022,Houston Dash,Kansas City Current,1,2,Shell Energy Stadium
2022-10-17,2022,San Diego Wave FC,Chicago Stars FC,2,1,Snapdragon Stadium
2022-10-23,2022,Portland Thorns FC,San Diego Wave FC,2,1,Providence Park
2022-10-23,2022,Seattle Reign FC,Kansas City Current,0,2,Lumen Field
2022-10-30,2022,Portland Thorns FC,Kansas City Current,2,0,Audi Field
2023-03-25,2023,North Carolina Courage,Kansas City Current,1,0,WakeMed Soccer Park
2023-03-26,2023,San Diego Wave FC,Chicago Stars FC,3,2,Snapdragon Stadium
2023-03-26,2023,Washington Spirit,Seattle Reign FC,1,0,Audi Field
2023-03-26,2023,Portland Thorns FC,Orlando Pride,4,0,Providence Park
2023-03-26,2023,Houston Dash,Racing Louisville FC,0,0,Shell Energy Stadium
2023-03-27,2023,Angel City FC,Gotham FC,1,2,BMO Stadium
2023-04-01,2023,Gotham FC,Seattle Reign FC,0,2,Sports Illustrated Stadium
2023-04-01,2023,Racing Louisville FC,Washington Spirit,2,2,Lynn Family Stadium
2023-04-01,2023,Chicago Stars FC,Houston Dash,1,2,SeatGeek Stadium
2023-04-01,2023,Kansas City Current,Portland Thorns FC,1,4,Children's Mercy Park
2023-04-02,2023,San Diego Wave FC,North Carolina Courage,3,1,Snapdragon Stadium
2023-04-02,2023,Orlando Pride,Angel City FC,1,2,Inter&Co Stadium
2023-04-15,2023,Portland Thorns FC,Houston Dash,1,1,Providence Park
2023-04-15,2023,North Carolina Courage,Washington Spirit,1,2,WakeMed Soccer Park
2023-04-15,2023,Orlando Pride,Gotham FC,0,2,Inter&Co Stadium
2023-04-16,2023,Chicago Stars FC,Kansas City Current,4,2,SeatGeek Stadium
2023-04-16,2023,Angel City FC,Racing Louisville FC,2,2,BMO Stadium
2023-04-16,2023,Seattle Reign FC,San Diego Wave FC,1,0,Lumen Field
2023-04-22,2023,Seattle Reign FC,Chicago Stars FC,5,2,Lumen Field
2023-04-22,2023,Washington Spirit,Houston Dash,0,0,Audi Field
2023-04-22,2023,Gotham FC,North Carolina Courage,1,0,Sports Illustrated Stadium
2023-04-23,2023,Portland Thorns FC,Racing Louisville FC,2,0,Providence Park
2023-04-23,2023,Kansas City Current,Orlando Pride,2,0,Children's Mercy Park
2023-04-24,2023,Angel City FC,San Diego Wave FC,0,2,BMO Stadium
2023-04-29,2023,Racing Louisville FC,Seattle Reign FC,2,2,Lynn Family Stadium
2023-04-29,2023,Houston Dash,North Carolina Courage,0,1,Shell Energy Stadium
2023-04-30,2023,Chicago Stars FC,Washington Spirit,1,1,SeatGeek Stadium
2023-04-30,2023,San Diego Wave FC,Orlando Pride,1,3,Snapdragon Stadium
2023-04-30,2023,Portland Thorns FC,Angel City FC,3,3,Providence Park
2023-04-30,2023,Kansas City Current,Gotham FC,2,0,Children's Mercy Park
2023-05-06,2023,Washington Spirit,San Diego Wave FC,3,1,Audi Field
2023-05-06,2023,North Carolina Courage,Portland Thorns FC,3,3,WakeMed Soccer Park
2023-05-06,2023,Orlando Pride,Racing Louisville FC,1,0,Inter&Co Stadium
2023-05-07,2023,Seattle Reign FC,Houston Dash,2,0,Lumen Field
2023-05-07,2023,Chicago Stars FC,Gotham FC,1,2,SeatGeek Stadium
2023-05-08,2023,Angel City FC,Kansas City Current,3,2,BMO Stadium
2023-05-12,2023,Racing Louisville FC,Chicago Stars FC,3,0,Lynn Family Stadium
2023-05-13,2023,Houston Dash,Portland Thorns FC,2,1,Shell Energy Stadium
2023-05-14,2023,Kansas City Current,San Diego Wave FC,0,2,Children's Mercy Park
2023-05-14,2023,Gotham FC,Orlando Pride,0,0,Sports Illustrated Stadium
2023-05-14,2023,Angel City FC,Washington Spirit,0,1,BMO Stadium
2023-05-14,2023,North Carolina Courage,Seattle Reign FC,1,0,WakeMed Soccer Park
2023-05-20,2023,North Carolina Courage,Angel City FC,0,0,WakeMed Soccer Park
2023-05-20,2023,Orlando Pride,Washington Spirit,2,1,Inter&Co Stadium
2023-05-21,2023,Kansas City Current,Racing Louisville FC,0,2,Children's Mercy Park
2023-05-21,2023,Houston Dash,San Diego Wave FC,0,3,Shell Energy Stadium
2023-05-21,2023,Portland Thorns FC,Chicago Stars FC,4,0,Providence Park
2023-05-21,2023,Seattle Reign FC,Gotham FC,1,4,Lumen Field
2023-05-27,2023,Kansas City Current,Houston Dash,0,2,Children's Mercy Park
2023-05-27,2023,San Diego Wave FC,Portland Thorns FC,1,1,Snapdragon Stadium
2023-05-27,2023,Seattle Reign FC,Angel City FC,4,1,Lumen Field
2023-05-28,2023,Washington Spirit,Gotham FC,1,1,Audi Field
2023-05-28,2023,Chicago Stars FC,Orlando Pride,1,0,SeatGeek Stadium
2023-05-28,2023,Racing Louisville FC,North Carolina Courage,1,2,Lynn Family Stadium
2023-06-04,2023,Gotham FC,San Diego Wave FC,0,1,Sports Illustrated Stadium
2023-06-04,2023,Kansas City Current,North Carolina Courage,1,0,Children's Mercy Park
2023-06-04,2023,Seattle Reign FC,Portland Thorns FC,0,2,Lumen Field
2023-06-04,2023,Washington Spirit,Racing Louisville FC,1,1,Audi Field
2023-06-04,2023,Houston Dash,Orlando Pride,2,0,Shell Energy Stadium
2023-06-06,2023,Angel City FC,Chicago Stars FC,1,2,BMO Stadium
2023-06-10,2023,Racing Louisville FC,San Diego Wave FC,0,0,Lynn Family Stadium
2023-06-10,2023,Washington Spirit,Angel City FC,2,1,Audi Field
2023-06-11,2023,Houston Dash,Gotham FC,1,1,Shell Energy Stadium
2023-06-11,2023,Chicago Stars FC,North Carolina Courage,0,5,SeatGeek Stadium
2023-06-11,2023,Seattle Reign FC,Kansas City Current,2,1,Lumen Field
2023-06-11,2023,Orlando Pride,Portland Thorns FC,3,1,Inter&Co Stadium
2023-06-17,2023,North Carolina Courage,Orlando Pride,3,0,WakeMed Soccer Park
2023-06-17,2023,San Diego Wave FC,Angel City FC,1,2,Snapdragon Stadium
2023-06-18,2023,Chicago Stars FC,Portland Thorns FC,2,3,SeatGeek Stadium
2023-06-18,2023,Kansas City Current,Washington Spirit,2,3,Children's Mercy Park
2023-06-18,2023,Houston Dash,Seattle Reign FC,0,0,Shell Energy Stadium
2023-06-18,2023,Racing Louisville FC,Gotham FC,2,0,Lynn Family Stadium
2023-06-24,2023,Portland Thorns FC,Washington Spirit,4,2,Providence Park
2023-06-24,2023,North Carolina Courage,Racing Louisville FC,1,0,WakeMed Soccer Park
2023-06-24,2023,Orlando Pride,Kansas City Current,1,2,Inter&Co Stadium
2023-06-25,2023,San Diego Wave FC,Seattle Reign FC,1,2,Snapdragon Stadium
2023-06-25,2023,Gotham FC,Chicago Stars FC,2,1,Sports Illustrated Stadium
2023-06-26,2023,Angel City FC,Houston Dash,0,0,BMO Stadium
2023-07-01,2023,Seattle Reign FC,Racing Louisville FC,2,2,Lumen Field
2023-07-02,2023,Chicago Stars FC,San Diego Wave FC,1,0,SeatGeek Stadium
2023-07-02,2023,Washington Spirit,Orlando Pride,0,3,Audi Field
2023-07-02,2023,North Carolina Courage,Houston Dash,1,0,WakeMed Soccer Park
2023-07-02,2023,Portland Thorns FC,Kansas City Current,0,1,Providence Park
2023-07-02,2023,Gotham FC,Angel City FC,0,0,Sports Illustrated Stadium
2023-07-07,2023,Orlando Pride,Seattle Reign FC,1,0,Inter&Co Stadium
2023-07-08,2023,Houston Dash,Chicago Stars FC,0,1,Shell Energy Stadium
2023-07-08,2023,Racing Louisville FC,Kansas City Current,2,1,Lynn Family Stadium
2023-07-09,2023,San Diego Wave FC,Washington Spirit,2,2,Snapdragon Stadium
2023-07-09,2023,Gotham FC,Portland Thorns FC,2,1,Sports Illustrated Stadium
2023-07-10,2023,Angel City FC,North Carolina Courage,2,1,BMO Stadium
2023-08-19,2023,Kansas City Current,Seattle Reign FC,1,0,Children's Mercy Park
2023-08-19,2023,Racing Louisville FC,Angel City FC,1,1,Lynn Family Stadium
2023-08-20,2023,Houston Dash,Washington Spirit,1,1,Shell Energy Stadium
