date,season,home_team,away_team,home_score,away_score,venue
2025-11-09,2025,Portland Thorns FC,San Diego Wave FC,1,0,Providence Park
2025-11-15,2025,Washington Spirit,Portland Thorns FC,2,0,Audi Field
2025-11-16,2025,Orlando Pride,Gotham FC,0,1,Inter&Co Stadium
2025-11-23,2025,Washington Spirit,Gotham FC,0,1,PayPal Park
2026-03-14,2026,Washington Spirit,Portland Thorns FC,0,1,Audi Field
2026-03-14,2026,Boston Legacy FC,Gotham FC,0,1,Gillette Stadium
2026-03-14,2026,Kansas City Current,Utah Royals FC,2,1,CPKC Stadium
2026-03-14,2026,Bay FC,Denver Summit FC,2,1,PayPal Park
2026-03-14,2026,North Carolina Courage,Racing Louisville FC,2,1,WakeMed Soccer Park
2026-03-15,2026,San Diego Wave FC,Houston Dash,0,1,Snapdragon Stadium
2026-03-15,2026,Orlando Pride,Seattle Reign FC,1,2,Inter&Co Stadium
2026-03-15,2026,Angel City FC,Chicago Stars FC,4,0,BMO Stadium
2026-03-21,2026,Orlando Pride,Denver Summit FC,1,1,Inter&Co Stadium
2026-03-21,2026,Racing Louisville FC,Washington Spirit,2,2,Lynn Family Stadium
2026-03-21,2026,Portland Thorns FC,Seattle Reign FC,2,0,Providence Park
2026-03-21,2026,Houston Dash,Boston Legacy FC,3,0,Shell Energy Stadium
2026-03-21,2026,Gotham FC,North Carolina Courage,0,0,Red Bull Arena
2026-03-22,2026,Chicago Stars FC,Kansas City Current,2,1,Northwestern Medicine Field at Martin Stadium
2026-03-22,2026,Utah Royals FC,San Diego Wave FC,1,2,America First Field
2026-03-22,2026,Bay FC,Angel City FC,1,3,PayPal Park
2026-03-25,2026,Gotham FC,Denver Summit FC,0,2,Red Bull Arena
2026-03-25,2026,Washington Spirit,Utah Royals FC,1,1,Audi Field
2026-03-26,2026,Chicago Stars FC,Orlando Pride,0,3,Northwestern Medicine Field at Martin Stadium
2026-03-26,2026,Seattle Reign FC,Kansas City Current,3,0,ONE Spokane Stadium
2026-03-26,2026,San Diego Wave FC,Portland Thorns FC,3,1,Snapdragon Stadium
2026-03-28,2026,Denver Summit FC,Washington Spirit,0,0,Empower Field at Mile High
2026-03-28,2026,Angel City FC,Houston Dash,2,1,BMO Stadium
2026-03-28,2026,Boston Legacy FC,Utah Royals FC,1,2,Gillette Stadium
2026-03-28,2026,Portland Thorns FC,Kansas City Current,2,0,Providence Park
2026-03-28,2026,Seattle Reign FC,Racing Louisville FC,2,1,ONE Spokane Stadium
2026-03-28,2026,North Carolina Courage,Bay FC,1,3,WakeMed Soccer Park
2026-03-29,2026,San Diego Wave FC,Chicago Stars FC,2,0,Snapdragon Stadium
2026-03-29,2026,Gotham FC,Orlando Pride,0,0,Red Bull Arena
